date,open,high,low,close,volume
2019-01-02,3294.89,3305.04,3219.67,3239.61,62286
2019-01-03,3244.59,3253.08,3173.39,3194.49,30977
2019-01-04,3180.82,3283.28,3154.39,3254.79,37683
2019-01-07,3284.94,3305.04,3255.89,3272.33,34750
2019-01-08,3272.38,3305.04,3246.15,3268.81,28838
2019-01-09,3294.94,3376.19,3290.16,3325.74,49892
2019-01-10,3330.81,3369.76,3296.24,3339.05,29044
2019-01-11,3370.36,3430.66,3338.95,3425.03,38884
2019-01-14,3410.56,3425.08,3353.02,3368.35,25649
2019-01-15,3384.73,3553.76,3370.36,3546.13,55765
2019-01-16,3536.18,3574.62,3514.07,3551.75,42084
2019-01-17,3561.3,3594.97,3525.12,3542.46,30285
2019-01-18,3571.35,3697.98,3553.76,3664.86,68609
2019-01-21,3696.97,3741.59,3656.17,3681.8,47052
2019-01-22,3676.87,3676.87,3572.46,3601.5,42122
2019-01-23,3582.51,3619.09,3561.95,3574.67,33625
2019-01-24,3597.98,3635.82,3569.74,3609.04,29155
2019-01-25,3626.02,3671.34,3596.12,3645.22,28986
2019-01-28,3666.82,3716.97,3626.77,3631.65,36103
2019-01-29,3634.16,3686.92,3586.43,3671.85,30343
2019-01-30,3671.8,3677.98,3626.62,3626.62,22700
2019-01-31,3646.72,3694.96,3634.46,3694.96,36697
2019-02-01,3732.35,3742.19,3695.01,3710.39,30521
2019-02-11,3722.09,3895.45,3687.83,3874.35,58141
2019-02-12,3862.79,3875.3,3823.6,3837.26,35091
2019-02-13,3862.79,3928.92,3833.75,3924.34,35677
2019-02-14,3903.99,3966.6,3898.67,3933.94,32258
2019-02-15,3922.48,3922.48,3862.89,3871.73,23238
2019-02-18,3902.99,3973.08,3902.99,3948.21,37746
2019-02-19,3953.03,3960.77,3881.18,3901.78,29502
2019-02-20,3923.09,3923.09,3827.92,3857.76,37882
2019-02-21,3847.71,3900.37,3832.64,3848.97,29850
2019-02-22,3832.64,3890.37,3818.07,3877.91,25909
2019-02-25,3901.73,3970.52,3837.61,3959.92,82623
2019-02-26,3987.4,3994.34,3877.86,3884.65,57965
2019-02-27,3913.04,4038.76,3902.99,3951.73,65942
2019-02-28,3937.66,4065.89,3932.88,4023.63,56986
2019-03-01,4056.24,4199.45,4053.73,4195.93,63840
2019-03-04,4224.57,4241.31,4135.23,4158.55,84586
2019-03-05,4174.33,4197.19,4128.5,4148.1,44831
2019-03-06,4124.08,4146.69,4078.25,4088.9,46731
2019-03-07,4059.86,4059.86,3976.15,3991.42,60181
2019-03-08,3937.66,3982.53,3916.3,3935.65,52275
2019-03-11,3948.41,4083.63,3948.41,4041.37,53057
2019-03-12,4067.9,4067.95,3943.19,3973.38,52510
2019-03-13,3975.85,4052.47,3975.85,4018.56,40561
2019-03-14,4033.63,4174.33,4018.56,4139.15,62173
2019-03-15,4129.1,4186.89,4073.08,4135.64,52401
2019-03-18,4143.17,4322.71,4134.13,4300.4,81319
2019-03-19,4264.77,4289.49,4211.01,4212.56,40635
2019-03-20,4199.45,4261.25,4174.33,4213.52,31118
2019-03-21,4189.4,4213.52,4156.74,4178.09,32573
2019-03-22,4190.51,4249.6,4174.33,4219.55,30518
2019-03-25,4179.35,4189.4,4115.54,4127.09,37270
2019-03-26,4149.2,4179.05,4069.31,4114.03,37596
2019-03-27,4154.23,4218.95,4124.08,4191.91,42807
2019-03-28,4216.68,4322.46,4177.74,4283.87,57567
2019-03-29,4425.57,4584.75,4401.3,4520.99,90934
2019-04-01,4551.19,4596.16,4505.96,4546.16,60935
2019-04-02,4551.14,4551.14,4430.89,4500.94,53227
2019-04-03,4451.29,4509.68,4421.6,4473.3,43057
2019-04-04,4450.69,4580.33,4431.6,4576.31,55772
2019-04-08,4752.18,4792.38,4702.53,4753.18,66252
2019-04-09,4767.25,4793.38,4714.54,4777.3,47990
2019-04-10,4767.25,5012.96,4752.18,4993.32,67814
2019-04-11,4993.37,5003.42,4780.06,4878.8,61103
2019-04-12,4797.4,4852.62,4752.23,4822.52,48612
2019-04-15,4907.95,4948.14,4787.35,4787.35,45523
