date,open,high,low,close,volume
2019-01-02,123.65,123.93,121.45,121.93,825542
2019-01-03,121.87,124.23,121.69,122.93,692711
2019-01-04,122.13,125.57,122.03,124.75,1129856
2019-01-07,125.75,125.91,123.37,124.17,765930
2019-01-08,123.67,123.75,121.97,123.17,559921
2019-01-09,123.97,126.77,123.49,125.47,819146
2019-01-10,125.31,127.21,124.67,126.57,673282
2019-01-11,127.57,128.15,126.57,127.71,457570
2019-01-14,127.05,127.47,125.37,125.81,475327
2019-01-15,126.09,128.95,125.69,128.75,586265
2019-01-16,128.41,129.49,127.59,129.05,404112
2019-01-17,129.67,131.17,128.69,129.03,535050
2019-01-18,130.03,131.61,128.95,131.41,561757
2019-01-21,131.43,133.79,131.27,133.15,559843
2019-01-22,132.77,132.85,131.05,131.71,419508
2019-01-23,131.21,132.37,130.47,130.55,374933
2019-01-24,130.79,132.61,130.01,132.43,449406
2019-01-25,132.57,135.13,132.43,134.15,672459
2019-01-28,135.17,136.39,133.97,134.61,581649
2019-01-29,134.33,135.37,133.53,134.87,395193
2019-01-30,133.33,135.29,133.13,134.07,310003
2019-01-31,135.17,137.95,134.67,137.53,692265
2019-02-01,138.57,139.13,137.27,137.99,437925
2019-02-11,137.33,140.59,137.33,140.35,541816
2019-02-12,140.37,140.41,138.95,140.11,385193
2019-02-13,140.89,142.37,139.63,141.61,578658
2019-02-14,141.33,142.37,141.13,141.77,396203
2019-02-15,141.17,141.59,138.01,138.07,534011
2019-02-18,139.37,142.41,139.13,142.15,721361
2019-02-19,142.73,146.11,142.13,142.93,785951
2019-02-20,144.17,144.33,141.95,143.33,393509
2019-02-21,143.17,144.93,141.75,142.35,543694
2019-02-22,142.29,145.71,141.17,145.61,762219
2019-02-25,148.01,157.57,147.85,157.57,2222382
2019-02-26,154.99,156.77,151.41,151.59,1555639
2019-02-27,152.17,154.43,149.55,151.53,1017664
2019-02-28,151.53,153.47,150.39,151.59,598890
2019-03-01,152.95,156.77,152.07,156.35,920752
2019-03-04,157.57,161.77,155.99,156.73,1263275
2019-03-05,156.53,157.05,154.71,155.71,659680
2019-03-06,156.35,156.53,153.79,155.89,784654
2019-03-07,155.87,155.87,151.57,152.15,1013473
2019-03-08,148.89,151.97,148.07,148.97,913256
2019-03-11,149.17,150.95,148.01,149.15,751858
2019-03-12,150.77,153.41,149.49,150.07,969219
2019-03-13,154.33,155.77,152.11,154.65,1405464
2019-03-14,155.11,157.97,154.97,157.17,1055970
2019-03-15,157.77,162.57,157.73,159.27,1255246
2019-03-18,160.43,162.25,158.47,161.57,1156392
2019-03-19,163.03,165.27,161.49,162.27,1012097
2019-03-20,161.69,166.53,161.07,164.67,1078439
2019-03-21,165.57,166.07,162.77,163.17,846259
2019-03-22,163.09,164.09,159.69,161.01,772004
2019-03-25,158.39,159.55,155.93,156.15,991052
2019-03-26,157.55,158.03,155.87,156.95,634475
2019-03-27,157.97,160.83,156.97,160.01,759818
2019-03-28,158.37,159.45,157.33,158.37,484209
2019-03-29,159.77,165.77,159.77,165.77,1429355
2019-04-01,167.57,170.03,166.57,168.77,1168113
2019-04-02,168.65,169.57,167.67,169.49,771175
2019-04-03,168.53,171.87,168.31,171.29,760220
2019-04-04,171.73,173.49,170.07,171.97,795626
2019-04-08,172.97,176.07,171.61,172.75,916122
2019-04-09,172.37,175.57,172.31,173.77,601738
2019-04-10,173.17,175.79,170.89,175.63,783620
2019-04-11,176.87,178.81,171.89,172.99,756629
2019-04-12,172.27,173.89,171.37,172.45,526779
2019-04-15,176.03,179.33,174.77,174.89,989953
2019-04-16,174.01,181.83,173.37,181.59,1036223
2019-04-17,181.41,182.27,179.17,180.53,631916
2019-04-18,180.95,181.61,179.33,180.17,397287
2019-04-19,182.11,185.57,179.97,185.57,789132
2019-04-22,186.01,187.75,180.57,181.49,932115
2019-04-23,181.07,186.33,180.57,183.69,678116
2019-04-24,183.73,185.33,178.67,181.63,812852
2019-04-25,180.27,181.55,177.87,178.37,655769
2019-04-26,177.57,180.43,177.17,177.79,648959
2019-04-29,179.33,185.83,178.17,184.43,946576
2019-04-30,184.57,186.53,180.63,183.77,917902
2019-05-06,177.17,178.77,170.89,173.97,1808609
2019-05-07,175.13,176.13,171.35,173.91,974951
2019-05-08,169.03,172.67,168.33,169.13,868376
2019-05-09,168.09,168.09,163.79,164.89,1125722
2019-05-10,167.47,175.31,166.17,174.33,1392098
2019-05-13,170.07,171.93,168.57,168.87,842351
2019-05-14,167.49,170.37,167.27,168.17,782781
2019-05-15,169.47,174.31,169.37,172.65,803300
2019-05-16,173.21,174.63,171.57,173.51,630831
2019-05-17,173.69,173.97,169.53,169.77,685802
2019-05-20,168.57,170.13,165.95,167.31,745004
2019-05-21,167.67,170.07,166.93,167.97,630198
2019-05-22,168.01,168.57,165.97,166.85,516732
2019-05-23,166.77,167.43,163.87,164.65,645671
2019-05-24,165.57,168.31,165.37,166.77,512353
2019-05-27,166.27,169.09,164.47,168.13,589732
2019-05-28,168.65,171.31,168.19,170.15,893840
2019-05-29,168.77,175.73,168.13,173.33,968273
