date,open,high,low,close,volume
2019-01-02,110.72,110.91,107.79,108.45,555166
2019-01-03,107.79,110.33,107.71,109.66,374108
2019-01-04,109.19,112.67,108.76,112.13,668531
2019-01-07,112.13,113.14,111.27,112.16,456040
2019-01-08,112.09,112.16,110.76,110.99,269280
2019-01-09,110.99,114.43,110.99,112.87,638200
2019-01-10,112.09,114.35,111.97,113.46,426307
2019-01-11,113.46,116.31,113.06,115.84,493910
2019-01-14,115.84,116.23,114.9,115.25,294245
2019-01-15,115.25,117.29,115.21,117.17,366719
2019-01-16,116.78,117.48,116.43,117.37,229955
2019-01-17,117.37,117.37,115.72,115.88,323682
2019-01-18,115.88,118.97,115.84,118.34,546398
2019-01-21,118.26,120.69,118.07,119.24,415588
2019-01-22,119.13,119.71,117.01,117.87,349072
2019-01-23,117.76,119.59,117.64,118.58,273250
2019-01-24,118.66,122.02,118.66,121.35,543410
2019-01-25,121.35,124.33,121.28,123.9,536482
2019-01-28,123.9,126.32,123.82,124.44,577366
2019-01-29,124.05,125.11,123.7,124.36,346629
2019-01-30,124.21,124.95,123.11,123.5,266892
2019-01-31,123.62,126.91,123.62,126.59,571420
2019-02-01,126.59,127.45,125.3,126.95,396522
2019-02-11,126.16,127.85,125.38,127.3,353636
2019-02-12,127.3,128.04,125.69,127.02,395827
2019-02-13,127.02,129.84,126.24,129.06,535776
2019-02-14,128.31,130.07,127.69,129.14,452387
2019-02-15,128.67,129.1,125.42,126.36,495667
2019-02-18,127.14,129.64,127.14,129.17,446646
2019-02-19,129.14,132.15,128.59,129.21,493676
2019-02-20,130.74,131.4,129.6,130.27,334340
2019-02-21,130.39,132.19,129.06,130.0,453140
2019-02-22,129.96,132.19,128.9,132.15,414875
2019-02-25,133.59,141.02,133.48,139.54,1101847
2019-02-26,138.64,141.41,134.84,135.51,948563
2019-02-27,136.33,138.75,135.16,136.37,808342
2019-02-28,136.33,137.89,135.35,136.49,487643
2019-03-01,137.7,141.14,136.13,141.02,682671
2019-03-04,141.41,144.5,139.46,140.2,956461
2019-03-05,140.87,140.87,137.89,138.87,673804
2019-03-06,138.72,139.89,136.64,138.36,546736
2019-03-07,137.54,137.89,133.48,134.77,707727
2019-03-08,132.58,134.41,131.09,132.73,770066
2019-03-11,131.91,132.93,130.39,131.76,675310
2019-03-12,133.24,134.88,131.44,132.26,838697
2019-03-13,132.77,134.84,130.66,133.75,666611
2019-03-14,133.51,137.11,133.2,135.35,684942
2019-03-15,135.24,137.31,134.38,136.21,595943
2019-03-18,136.68,139.69,135.9,138.91,593131
2019-03-19,139.07,139.93,137.23,137.62,486751
2019-03-20,137.03,139.34,136.33,138.56,465379
2019-03-21,138.01,139.07,137.19,137.43,386224
2019-03-22,137.82,138.99,136.37,138.87,430268
2019-03-25,137.5,137.89,133.98,134.26,639211
2019-03-26,135.9,136.13,134.41,135.51,403362
2019-03-27,136.29,139.61,135.35,139.07,594154
2019-03-28,138.17,140.05,137.31,139.54,387423
2019-03-29,139.54,146.58,139.11,145.01,1164152
2019-04-01,146.11,149.43,144.93,145.64,1046396
2019-04-02,145.71,147.63,145.68,147.24,694287
2019-04-03,146.89,149.04,146.54,148.69,581606
2019-04-04,148.84,153.34,148.84,151.54,822852
2019-04-08,151.97,154.2,151.78,152.87,810662
2019-04-09,152.75,152.79,149.47,150.13,511236
2019-04-10,149.43,150.92,147.36,149.51,674541
2019-04-11,149.98,151.78,148.14,149.08,572516
2019-04-12,148.69,149.23,147.67,148.45,363358
2019-04-15,150.88,154.0,148.53,148.53,924921
2019-04-16,148.06,153.54,147.67,153.14,840815
2019-04-17,152.71,155.02,151.7,152.48,494790
2019-04-18,152.36,152.36,149.74,151.19,322741
2019-04-19,151.58,154.9,151.5,153.14,411749
2019-04-22,152.36,153.73,146.89,148.45,715830
2019-04-23,148.06,151.54,147.94,150.13,495692
2019-04-24,151.31,152.75,148.53,152.36,540098
