date,open,high,low,close,volume
2019-01-02,135.79,139.37,134.39,135.25,15205943.0
2019-01-03,135.48,138.98,132.99,136.1,18064025.0
2019-01-04,136.26,140.15,131.67,139.69,25464938.0
2019-01-07,140.15,144.36,140.07,143.5,19979527.0
2019-01-08,143.97,144.51,141.94,144.05,19616215.0
2019-01-09,144.05,150.66,142.26,148.17,31765318.0
2019-01-10,150.66,162.97,150.66,162.97,55391253.0
2019-01-11,162.73,162.73,155.65,156.04,35247430.0
2019-01-14,155.96,160.24,154.79,158.37,24299370.0
2019-01-15,157.67,169.35,156.89,167.56,40725344.0
2019-01-16,167.72,167.72,163.59,165.54,26325208.0
2019-01-17,165.15,170.83,158.92,162.34,46137121.0
2019-01-18,166.16,175.97,161.02,173.4,46188546.0
2019-01-21,173.63,174.88,169.2,172.23,34509599.0
2019-01-22,172.86,173.09,167.02,170.91,20253975.0
2019-01-23,170.91,173.79,166.78,172.08,17388628.0
2019-01-24,171.22,182.98,170.75,172.86,43325097.0
2019-01-25,172.86,178.85,170.75,175.42,32215362.0
2019-01-28,176.36,180.25,171.61,172.62,26133770.0
2019-01-29,171.3,175.74,166.7,173.63,30592200.0
2019-01-30,174.26,180.41,174.26,175.35,26247639.0
2019-01-31,177.99,177.99,170.6,172.7,17999265.0
2019-02-01,175.11,181.81,173.01,177.76,26984813.0
2019-02-11,178.23,182.35,174.65,181.11,34172795.0
2019-02-12,180.49,180.49,175.81,178.69,23605043.0
2019-02-13,178.15,180.95,176.44,180.17,29742307.0
2019-02-14,179.16,188.19,177.92,186.33,46280782.0
2019-02-15,186.09,189.21,182.98,183.76,30247947.0
2019-02-18,181.81,196.68,181.81,192.32,44681355.0
2019-02-19,200.89,201.9,190.14,195.59,56761709.0
2019-02-20,199.25,200.73,193.1,200.18,32823424.0
2019-02-21,199.02,213.97,197.93,210.0,55480488.0
2019-02-22,210.7,228.53,210.23,225.8,55807935.0
2019-02-25,232.5,232.5,219.34,225.49,74559511.0
2019-02-26,221.99,235.69,217.31,223.0,68025689.0
2019-02-27,222.22,223.0,201.66,208.52,78186575.0
2019-02-28,207.11,216.46,206.18,211.01,44272635.0
2019-03-01,210.93,219.81,206.34,215.45,42393698.0
2019-03-04,216.46,218.95,211.09,213.34,57142509.0
2019-03-05,213.19,218.64,210.23,214.67,40162659.0
2019-03-06,213.42,214.75,204.78,207.89,69947202.0
2019-03-07,205.56,209.06,200.89,202.44,65297253.0
2019-03-08,200.11,207.74,195.9,197.07,60639756.0
2019-03-11,196.6,216.77,194.81,216.77,94303580.0
2019-03-12,218.02,223.08,214.51,216.61,78911418.0
2019-03-13,218.02,220.2,207.97,214.98,50429984.0
2019-03-14,214.12,222.45,208.05,211.4,51620680.0
2019-03-15,212.41,221.05,211.63,214.12,37193588.0
2019-03-18,217.63,219.18,213.34,218.09,32899751.0
2019-03-19,219.18,219.65,209.68,211.86,32971258.0
2019-03-20,211.48,211.48,203.22,208.13,41087322.0
2019-03-21,208.13,210.07,206.34,207.89,19685629.0
2019-03-22,206.26,207.35,197.69,201.59,45324493.0
2019-03-25,199.64,205.25,198.08,198.55,32256135.0
2019-03-26,202.13,203.22,195.75,197.23,25912376.0
2019-03-27,199.02,199.33,190.14,195.67,28324765.0
2019-03-28,194.66,203.61,192.87,199.17,36015286.0
2019-03-29,198.55,204.39,196.99,203.22,37701921.0
2019-04-01,202.44,221.91,202.37,220.2,60853426.0
2019-04-02,219.96,225.02,216.54,218.17,34758740.0
2019-04-03,215.68,219.03,211.79,216.85,24948657.0
2019-04-04,213.97,219.03,213.34,215.99,22789990.0
2019-04-08,218.02,222.69,210.23,210.93,44437405.0
2019-04-17,216.59,229.88,210.92,225.26,50099760.0
2019-04-18,222.85,239.6,221.89,234.11,50977014.0
2019-04-19,232.96,239.31,228.72,234.6,27809754.0
2019-04-22,236.33,245.47,231.52,234.11,35552606.0
2019-04-23,233.92,237.77,226.22,227.09,27770068.0
2019-04-24,227.86,232.0,223.33,227.57,22850091.0
2019-04-25,228.63,231.61,222.18,226.7,19819295.0
2019-04-26,224.49,229.49,215.73,218.42,27670728.0
2019-04-29,214.67,225.26,210.15,218.52,39803684.0
2019-04-30,221.22,229.88,215.63,218.52,45358834.0
2019-05-06,209.95,220.93,203.98,217.17,45437038.0
2019-05-07,218.52,227.18,214.28,223.33,54023242.0
2019-05-08,218.52,223.14,211.01,213.51,40532404.0
2019-05-09,210.34,217.08,210.34,215.25,26889904.0
2019-05-10,221.22,227.18,214.67,225.93,47223282.0
2019-05-13,222.08,229.59,222.08,224.01,25917325.0
2019-05-14,221.41,226.9,220.35,225.26,22721442.0
2019-05-15,232.0,243.55,230.36,242.3,61884838.0
2019-05-16,243.55,246.44,237.68,240.66,41290277.0
2019-05-17,240.66,246.24,230.65,232.0,38004884.0
2019-05-20,231.71,231.8,219.48,231.03,42829494.0
2019-05-21,232.96,233.15,227.67,229.11,32300381.0
2019-05-22,229.98,239.02,228.24,232.96,26839086.0
2019-05-23,230.26,236.62,228.92,230.26,31946487.0
2019-05-24,228.15,232.96,225.93,227.95,22112495.0
2019-05-27,230.46,237.0,226.32,230.07,45411502.0
2019-05-28,229.49,233.06,225.26,231.32,39438811.0
2019-05-29,228.63,229.98,225.74,225.74,22624329.0
2019-05-30,223.14,229.01,221.22,225.35,28574054.0
2019-05-31,231.03,234.31,226.22,229.4,50730488.0
2019-06-03,227.95,230.75,222.47,222.85,30311706.0
2019-06-04,226.8,229.01,223.04,224.49,22239638.0
2019-06-05,227.57,227.57,219.68,221.5,20422471.0
2019-06-06,221.79,222.56,210.24,211.01,37499787.0
2019-06-10,213.33,220.88,211.3,219.62,22541032.0
2019-06-11,223.68,225.52,219.62,224.45,26856133.0
2019-06-12,224.84,224.84,215.27,217.01,23353387.0
2019-06-13,218.46,221.84,214.11,218.26,21414316.0
2019-06-14,222.71,224.16,213.82,215.65,22890310.0
2019-06-17,213.43,214.49,196.99,207.63,52044690.0
2019-06-18,207.43,212.56,206.95,210.53,26878684.0
2019-06-19,218.26,221.26,216.23,216.52,37156072.0
2019-06-20,214.49,228.03,214.49,222.81,36257752.0
2019-06-21,226.87,226.97,220.59,223.78,24153818.0
2019-06-24,224.26,232.87,221.75,227.16,33046414.0
2019-06-25,225.52,226.58,217.01,219.91,25639455.0
2019-06-26,220.49,222.81,216.33,220.3,18834006.0
2019-06-27,222.04,226.68,222.04,224.07,24371231.0
2019-06-28,225.9,226.77,221.75,223.49,13484316.0
2019-07-01,229.1,232.58,225.61,226.58,36739047.0
2019-07-02,223.39,223.87,214.98,218.55,65695522.0
2019-07-03,218.07,220.88,214.11,218.55,44155341.0
2019-07-04,218.55,221.26,212.56,215.46,27044054.0
2019-07-05,216.62,219.04,214.98,216.72,23429890.0
2019-07-08,215.46,216.52,208.59,211.3,27969490.0
2019-07-09,209.85,213.14,207.24,209.56,18812480.0
2019-07-10,211.49,211.79,209.27,210.53,10704623.0
2019-07-11,212.27,212.56,199.02,202.89,52830455.0
2019-07-12,204.05,217.1,204.05,215.94,47339219.0
2019-07-15,216.04,223.29,213.43,221.84,36177472.0
2019-07-16,221.07,224.07,219.04,223.39,21594039.0
2019-07-17,224.84,227.74,221.46,222.81,22285469.0
2019-07-18,236.44,241.76,229.19,232.67,64852315.0
2019-07-19,235.96,236.35,230.45,232.09,28390230.0
2019-07-22,234.03,236.44,229.29,232.96,20325539.0
2019-07-23,234.99,242.25,232.96,241.28,42596614.0
2019-07-24,242.63,243.12,239.64,241.76,25180689.0
2019-07-25,241.28,248.53,240.02,244.18,39263353.0
2019-07-26,243.79,253.95,242.73,251.92,41542023.0
2019-07-29,250.95,254.34,249.6,250.56,31534630.0
2019-07-30,252.3,253.27,246.02,246.6,29660196.0
2019-07-31,246.6,252.01,246.02,248.82,23326910.0
2019-08-01,248.82,250.56,246.7,247.57,19379512.0
2019-08-02,243.21,250.95,241.76,245.34,29006927.0
