date,open,high,low,close,volume
2019-01-10,92.56,92.56,90.4,90.67,218684412.0
2019-01-11,90.67,91.91,90.35,91.59,112769559.0
2019-01-14,92.34,93.15,91.59,91.75,86110894.0
2019-01-15,91.97,95.64,91.8,94.99,180546995.0
2019-01-16,95.15,95.8,94.34,95.2,110444369.0
2019-01-17,95.8,96.44,94.5,94.77,88332561.0
2019-01-18,95.37,96.82,94.5,96.5,111055563.0
2019-01-21,96.5,97.9,95.47,96.28,113213508.0
2019-01-22,95.8,96.23,93.75,94.29,92181316.0
2019-01-23,94.72,95.15,93.69,94.56,51943129.0
2019-01-24,94.99,97.58,94.56,96.55,115756966.0
2019-01-25,96.88,98.5,96.55,97.36,113196862.0
2019-01-28,98.71,99.41,96.17,97.15,100745695.0
2019-01-29,96.71,98.28,96.17,97.69,76907013.0
2019-01-30,96.98,97.96,96.66,96.82,48755001.0
2019-01-31,97.52,99.31,97.09,98.55,92507149.0
2019-02-01,100.38,101.3,99.41,100.28,104830643.0
2019-02-11,99.95,102.22,99.9,101.79,83710365.0
2019-02-12,101.9,103.35,101.36,102.38,88037440.0
2019-02-13,102.38,105.24,101.46,105.19,143106930.0
2019-02-14,105.13,105.19,103.68,104.16,91635649.0
2019-02-15,104.0,104.0,100.33,100.6,160790663.0
2019-02-18,101.68,107.08,101.68,106.97,222967946.0
2019-02-19,106.97,110.05,105.84,106.75,212070678.0
2019-02-20,107.29,109.45,106.54,108.37,135140856.0
2019-02-21,107.67,113.88,106.86,110.05,232675199.0
2019-02-22,111.07,121.05,109.07,121.05,393082217.0
2019-02-25,127.1,133.14,124.67,133.14,491344673.0
2019-02-26,137.19,142.37,130.82,132.23,587395474.0
2019-02-27,131.15,134.93,126.34,129.8,456792460.0
2019-02-28,128.13,129.04,124.13,126.88,298491939.0
2019-03-01,128.18,133.09,125.21,132.01,394365855.0
2019-03-04,133.31,140.86,128.5,132.17,508336348.0
2019-03-05,133.04,134.82,130.5,133.85,314828000.0
2019-03-06,133.85,147.23,132.77,144.1,556595162.0
2019-03-07,142.37,150.47,140.05,144.42,621752028.0
2019-03-08,134.93,137.73,129.96,129.96,632806722.0
2019-03-11,129.53,132.12,125.21,130.01,379152700.0
2019-03-12,130.45,136.76,130.45,133.2,431035045.0
2019-03-13,133.47,133.68,128.77,129.1,299907454.0
2019-03-14,128.18,130.88,124.72,126.13,283347260.0
2019-03-15,127.42,130.07,126.45,128.5,246457941.0
2019-03-18,128.18,133.25,125.75,132.93,299429968.0
2019-03-19,133.04,133.58,130.01,130.77,215235517.0
2019-03-20,130.34,134.66,130.01,132.55,258896801.0
2019-03-21,133.04,137.3,131.8,134.39,356323967.0
2019-03-22,133.68,135.03,131.15,133.85,204317547.0
2019-03-25,131.15,132.44,127.42,127.91,252533724.0
2019-03-26,128.99,128.99,122.84,123.65,257207455.0
2019-03-27,124.78,125.59,122.13,123.97,187065509.0
2019-03-28,122.78,125.37,121.16,123.21,167606100.0
2019-03-29,123.75,134.12,123.75,133.74,423364574.0
2019-04-01,133.68,139.03,132.6,136.44,490451298.0
2019-04-02,137.73,139.3,135.2,136.0,285766405.0
2019-04-03,134.44,142.59,134.33,141.19,390693148.0
2019-04-04,141.46,141.89,138.7,140.32,275009434.0
2019-04-08,141.67,142.1,134.93,136.6,290387203.0
2019-04-09,136.44,138.43,134.93,137.14,198904576.0
2019-04-10,136.81,136.98,132.6,134.66,267571181.0
2019-04-11,133.58,135.2,131.36,131.8,181618720.0
2019-04-12,131.8,132.87,129.69,130.99,159352402.0
2019-04-15,133.85,134.39,128.18,128.45,210253036.0
2019-04-16,127.91,132.23,125.53,132.23,235530933.0
2019-04-17,131.63,132.82,130.66,131.47,137848383.0
2019-04-18,131.47,132.98,130.72,131.04,106350872.0
2019-04-19,131.31,132.93,130.12,132.23,140886161.0
2019-04-22,133.52,133.95,127.96,128.39,189633279.0
2019-04-23,127.91,132.06,127.21,129.26,162566078.0
2019-04-24,129.2,131.04,128.34,130.5,123236171.0
2019-04-25,129.53,131.58,126.72,126.83,166607218.0
2019-04-26,126.18,129.26,126.13,127.32,144930338.0
2019-04-29,127.32,127.8,122.62,124.24,177259223.0
2019-04-30,124.4,125.7,123.65,124.35,106674536.0
2019-05-06,116.58,118.57,111.93,111.93,279589088.0
2019-05-07,113.01,113.23,108.59,111.99,213466062.0
2019-05-08,108.48,111.99,107.94,109.4,146280273.0
2019-05-09,107.83,109.02,106.64,106.75,165338085.0
2019-05-10,108.48,112.8,106.59,111.39,269613200.0
2019-05-13,109.02,109.99,107.4,108.16,135119386.0
2019-05-14,106.91,108.97,106.81,107.29,114487160.0
2019-05-15,108.32,109.94,107.94,109.56,135989869.0
2019-05-16,109.4,109.78,108.43,109.18,91370516.0
2019-05-17,109.56,109.88,104.97,106.0,141406935.0
2019-05-20,105.67,108.37,105.24,107.24,113526718.0
2019-05-21,106.97,110.31,106.97,109.18,127062478.0
2019-05-22,109.24,110.05,107.94,108.7,80803406.0
2019-05-23,107.83,109.99,107.24,108.21,101230091.0
2019-05-24,108.48,109.29,107.83,108.32,68129914.0
2019-05-27,108.21,111.93,107.51,111.34,166691074.0
2019-05-28,110.53,112.69,110.42,111.12,122312601.0
2019-05-29,110.15,112.26,110.1,110.91,89994673.0
2019-05-30,110.1,110.37,108.26,109.07,95165018.0
2019-05-31,108.8,109.83,108.59,108.64,57365500.0
2019-06-03,109.51,111.5,108.37,108.97,108330173.0
2019-06-04,108.75,109.24,107.78,108.64,66340850.0
2019-06-05,110.21,110.91,109.18,109.72,114419953.0
2019-06-06,110.1,110.85,108.05,108.32,89586739.0
2019-06-10,108.97,109.56,106.38,108.37,105596616.0
2019-06-11,108.37,114.2,108.16,113.82,221743961.0
2019-06-12,112.69,113.66,111.61,112.31,125361624.0
2019-06-13,111.99,114.47,111.77,113.39,129128676.0
2019-06-14,113.61,114.58,111.39,111.5,96582531.0
2019-06-17,111.56,112.8,111.29,111.88,65291229.0
2019-06-18,112.15,113.01,111.18,112.53,59873299.0
2019-06-19,121.43,123.05,116.04,116.31,256773065.0
2019-06-20,116.47,127.37,116.25,124.4,359422890.0
2019-06-21,124.99,129.74,124.46,127.75,317861506.0
2019-06-24,129.26,130.07,126.99,127.37,195547985.0
2019-06-25,127.37,128.23,123.21,126.72,224802321.0
2019-06-26,125.48,126.99,124.24,125.7,121717538.0
2019-06-27,126.83,130.99,126.61,129.1,219358864.0
2019-06-28,128.72,129.69,127.37,128.5,128237750.0
2019-07-01,133.09,133.74,130.61,131.58,251010603.0
2019-07-02,130.88,131.04,129.91,130.34,118546025.0
2019-07-03,129.96,130.07,125.43,126.45,168063448.0
2019-07-04,126.94,129.1,126.29,127.37,103266275.0
2019-07-05,127.48,128.18,125.75,127.05,82733952.0
2019-07-08,126.72,127.64,123.59,125.05,128945414.0
2019-07-09,126.02,126.51,123.7,125.37,95724169.0
2019-07-10,125.97,126.29,124.35,125.21,78653211.0
2019-07-11,126.29,127.59,124.08,125.1,123752035.0
2019-07-12,124.89,126.34,123.59,126.13,96670547.0
2019-07-15,124.67,129.85,123.75,127.86,150242296.0
2019-07-16,127.42,128.23,126.45,126.45,78011701.0
2019-07-17,125.53,126.29,124.19,124.62,120650332.0
2019-07-18,123.59,123.86,122.57,122.62,86781596.0
2019-07-19,123.27,126.02,123.21,125.1,108063712.0
2019-07-22,125.7,126.02,122.94,123.05,92306459.0
2019-07-23,123.21,124.46,122.84,123.43,50154934.0
2019-07-24,124.19,126.45,124.19,125.53,108612254.0
2019-07-25,125.7,126.24,124.99,126.24,64383228.0
2019-07-26,125.64,126.24,125.16,126.24,53630339.0
2019-07-29,125.91,126.02,124.46,125.05,62672102.0
2019-07-30,125.21,127.59,124.99,126.34,100197318.0
2019-07-31,125.91,126.24,124.83,125.37,63368301.0
2019-08-01,124.62,125.16,123.11,123.7,80971056.0
2019-08-02,120.03,120.41,118.82,118.99,111482670.0
2019-08-05,117.73,117.73,114.71,114.77,140569025.0
2019-08-06,111.75,115.53,110.49,114.27,164123420.0
2019-08-07,114.6,114.93,112.24,112.35,99202290.0
2019-08-08,115.92,116.41,113.94,114.6,130157270.0
2019-08-09,115.64,116.14,113.62,113.94,85086629.0
2019-08-12,115.92,117.01,115.59,116.96,107820933.0
2019-08-13,115.64,116.03,115.09,115.48,50634898.0
2019-08-14,117.56,118.27,115.92,115.92,79542426.0
2019-08-15,112.35,116.74,112.08,116.19,71968872.0
2019-08-16,115.75,118.66,115.75,116.9,94765570.0
2019-08-19,119.92,126.99,118.77,126.77,247363808.0
2019-08-20,126.06,126.77,124.47,124.74,131382318.0
2019-08-21,124.41,125.34,123.7,124.08,77130204.0
2019-08-22,124.58,125.12,123.32,124.47,65120305.0
2019-08-23,124.74,125.56,123.64,124.08,88249118.0
2019-08-26,121.34,122.99,120.9,121.78,99365180.0
2019-08-27,122.82,126.28,122.49,124.8,135503079.0
2019-08-28,123.92,124.69,122.77,122.88,72306012.0
2019-08-29,123.04,123.37,121.73,121.95,63630619.0
2019-08-30,123.59,124.91,121.12,122.33,84139677.0
2019-09-02,122.38,125.84,122.0,124.8,121144407.0
2019-09-03,124.85,126.49,124.41,125.18,95727004.0
2019-09-04,124.96,128.47,124.58,127.86,160964746.0
2019-09-05,130.99,135.65,130.44,130.61,309144998.0
2019-09-06,133.24,133.67,130.88,132.36,155602106.0
2019-09-09,134.55,136.2,133.13,133.29,178036500.0
2019-09-10,133.73,133.95,130.11,132.63,167599227.0
2019-09-11,134.17,135.92,132.63,133.67,201602203.0
2019-09-12,134.28,135.98,132.74,135.43,151228933.0
2019-09-16,136.09,136.47,132.03,133.07,126002824.0
2019-09-17,132.36,132.36,128.52,128.96,166626462.0
2019-09-18,129.18,129.73,128.14,128.41,78403902.0
2019-09-19,129.18,129.51,128.14,129.29,77903100.0
2019-09-20,129.45,129.45,126.55,127.92,114404388.0
2019-09-23,127.21,127.26,124.8,125.89,115083184.0
2019-09-24,126.71,127.92,125.56,125.84,101600779.0
2019-09-25,124.91,126.55,124.63,125.29,66462280.0
2019-09-26,125.62,126.49,124.03,124.52,90037754.0
2019-09-27,124.36,126.33,124.36,126.33,65597402.0
2019-09-30,126.33,126.33,123.21,123.21,71860799.0
2019-10-08,123.21,123.75,121.29,122.38,78186973.0
2019-10-09,121.01,122.06,120.03,121.84,75038069.0
2019-10-10,121.78,123.15,121.4,122.71,64531506.0
2019-10-11,123.32,126.33,121.95,125.73,117496729.0
2019-10-14,127.54,128.52,126.44,126.55,144209679.0
2019-10-15,126.39,126.39,124.36,124.36,74583392.0
2019-10-16,124.8,125.95,123.48,123.64,63023083.0
2019-10-17,123.48,124.25,123.04,123.43,41030344.0
2019-10-18,124.08,124.25,120.58,120.58,78360184.0
2019-10-21,120.36,120.36,117.94,119.75,73638595.0
2019-10-22,120.25,121.23,119.64,121.12,46191504.0
2019-10-23,120.69,121.56,118.66,119.42,61421035.0
2019-10-24,119.7,120.85,118.82,119.75,55338440.0
2019-10-25,119.75,121.29,118.71,120.9,65778087.0
2019-10-28,120.9,122.82,120.36,122.49,75080233.0
2019-10-29,122.49,122.55,119.86,119.86,69272248.0
2019-10-31,120.3,120.85,117.89,118.93,74334204.0
2019-11-01,118.71,122.11,118.11,121.56,79709462.0
2019-11-04,121.62,122.6,121.07,122.0,74915021.0
2019-11-05,122.22,125.4,121.95,123.97,142297355.0
2019-11-06,123.97,124.25,122.49,122.93,64745092.0
2019-11-07,123.1,125.23,122.66,124.47,84683999.0
2019-11-08,125.84,126.6,122.38,122.88,97971831.0
2019-11-11,122.16,122.22,120.41,120.58,73069279.0
2019-11-12,120.36,121.01,119.26,120.74,59191672.0
2019-11-13,120.03,120.74,119.31,119.7,48186591.0
2019-11-14,119.7,120.9,119.48,120.03,43655340.0
2019-11-15,120.3,120.96,118.88,118.99,56753940.0
2019-11-18,118.93,120.69,118.44,119.97,50890411.0
2019-11-19,119.97,121.4,119.31,121.4,65422387.0
2019-11-20,121.12,121.4,118.82,119.04,70466973.0
2019-11-21,117.94,119.48,117.89,118.6,49185422.0
2019-11-22,118.82,119.53,117.4,117.78,65110057.0
2019-11-25,118.27,118.71,117.34,118.49,46912447.0
2019-11-26,118.77,119.04,117.84,117.94,44990505.0
2019-11-27,117.73,117.94,116.36,117.45,47567156.0
2019-11-28,117.29,118.16,117.29,117.89,32064563.0
2019-11-29,117.67,118.66,117.12,117.34,49331027.0
2019-12-02,120.03,120.47,118.66,118.82,86554840.0
2019-12-03,117.89,119.97,117.73,119.75,62064835.0
2019-12-04,118.71,119.59,118.55,119.31,44527415.0
2019-12-05,119.75,122.38,119.7,122.22,130152044.0
2019-12-06,122.27,123.1,121.51,122.66,105905900.0
2019-12-09,122.77,122.93,121.56,121.95,69628141.0
2019-12-10,121.78,122.16,120.85,121.73,54480415.0
2019-12-11,122.11,123.04,121.4,121.84,68865799.0
2019-12-12,122.22,122.33,121.18,121.67,54990235.0
2019-12-13,123.86,127.04,123.43,126.06,255689761.0
2019-12-16,126.6,128.74,125.12,127.81,180346085.0
2019-12-17,127.81,134.55,127.37,130.82,274182959.0
2019-12-18,130.66,133.07,130.17,130.44,171599193.0
2019-12-19,130.71,130.88,128.96,130.17,106176476.0
2019-12-20,130.5,132.08,129.24,129.24,138811771.0
2019-12-23,129.29,130.22,126.33,126.33,141574136.0
2019-12-24,126.11,127.1,125.78,127.04,81492375.0
2019-12-25,126.82,127.97,126.11,126.77,77406961.0
2019-12-26,127.43,130.28,126.99,130.17,118201492.0
2019-12-27,129.89,131.98,127.81,127.86,170276168.0
2019-12-30,127.7,140.63,127.43,140.63,615202089.0
2019-12-31,140.25,140.96,137.02,138.66,336972994.0
2020-01-02,141.07,141.9,138.44,139.7,357736590.0
2020-01-03,138.88,140.47,137.57,139.1,183799212.0
2020-01-06,137.35,141.68,137.02,138.77,230403483.0
2020-01-07,139.21,141.13,137.57,140.85,200305440.0
2020-01-08,139.37,139.65,136.2,136.69,206612075.0
2020-01-09,138.83,140.09,138.17,139.43,163560311.0
2020-01-10,142.28,142.99,138.17,140.03,196946160.0
2020-01-13,139.48,142.39,137.18,142.33,189510321.0
2020-01-14,142.39,143.27,139.81,140.09,175924079.0
2020-01-15,139.21,140.25,138.11,138.77,114079180.0
2020-01-16,138.99,138.99,137.35,137.62,103835564.0
2020-01-17,138.5,141.13,138.28,138.99,129734239.0
2020-01-20,138.88,141.29,138.11,141.18,140818261.0
2020-01-21,139.59,140.58,137.62,137.95,169180891.0
2020-01-22,136.91,139.37,133.84,138.11,203627131.0
2020-01-23,135.32,136.25,129.45,130.99,245248379.0
2020-02-03,117.89,117.89,117.89,117.89,75337000.0
2020-02-04,114.0,120.25,113.89,119.1,348557168.0
2020-02-05,119.26,124.3,117.94,120.96,242765069.0
2020-02-06,121.12,124.91,119.59,124.03,247840165.0
2020-02-07,123.21,124.03,121.67,123.54,183639632.0
2020-02-10,121.67,125.07,121.67,124.25,158040344.0
2020-02-11,125.12,126.77,124.08,124.36,176340884.0
